ID,MONTHS_BALANCE,STATUS,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5009058,0,X,5009058,F,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-7489,-797,1,0,1,1,Private service staff,1
5009642,0,0,5009642,M,N,N,0,202500,Commercial associate,Secondary / secondary special,Single / not married,With parents,-8489,-921,1,1,0,0,NULL,1
5009642,-1,X,5009642,M,N,N,0,202500,Commercial associate,Secondary / secondary special,Single / not married,With parents,-8489,-921,1,1,0,0,NULL,1
5021847,0,C,5021847,F,N,Y,1,135000,Working,Secondary / secondary special,Civil marriage,With parents,-10190,-279,1,0,0,0,NULL,3
5021847,-1,0,5021847,F,N,Y,1,135000,Working,Secondary / secondary special,Civil marriage,With parents,-10190,-279,1,0,0,0,NULL,3
5023821,0,0,5023821,F,Y,Y,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,-22379,-3178,1,0,0,0,NULL,2
5023821,-1,X,5023821,F,Y,Y,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,-22379,-3178,1,0,0,0,NULL,2
5025927,-33,0,5025927,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-18364,-1227,1,0,0,0,Sales staff,2
5026113,0,C,5026113,F,N,Y,0,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,-10127,-831,1,0,0,0,Sales staff,2
5026113,-1,0,5026113,F,N,Y,0,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,-10127,-831,1,0,0,0,Sales staff,2
5026113,-2,X,5026113,F,N,Y,0,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,-10127,-831,1,0,0,0,Sales staff,2
5026231,-42,X,5026231,F,Y,N,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,-15123,-2873,1,0,1,0,Sales staff,2
