ID,MONTHS_BALANCE,STATUS,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
NULL,NULL,NULL,5008808,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1
NULL,NULL,NULL,5008815,M,Y,Y,0,270000,Working,Higher education,Married,House / apartment,-16872,-769,1,1,1,1,Accountants,2
NULL,NULL,NULL,5010160,M,Y,Y,0,252000,Working,Secondary / secondary special,Married,House / apartment,-22117,-1621,1,0,1,1,Security staff,2
NULL,NULL,NULL,5021756,F,Y,Y,0,432000,Commercial associate,Incomplete higher,Married,House / apartment,-12719,-1218,1,0,1,1,Managers,2
NULL,NULL,NULL,5022620,M,Y,N,0,247500,State servant,Higher education,Married,With parents,-12118,-2313,1,1,1,1,Core staff,2
NULL,NULL,NULL,5022858,F,N,N,0,202500,Working,Higher education,Single / not married,Rented apartment,-19586,-1309,1,0,1,1,Managers,1
NULL,NULL,NULL,5024131,M,Y,N,0,202500,Working,Secondary / secondary special,Married,House / apartment,-8655,-1067,1,0,1,1,Core staff,2
NULL,NULL,NULL,5024977,M,N,N,0,360000,Working,Incomplete higher,Single / not married,Municipal apartment,-12375,-2773,1,0,1,1,Laborers,1
NULL,NULL,NULL,5024980,M,N,N,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14255,-762,1,1,1,1,Drivers,2
NULL,NULL,NULL,5028428,F,Y,Y,0,292500,Commercial associate,Higher education,Widow,House / apartment,-19148,-5744,1,0,1,1,NULL,1
NULL,NULL,NULL,5028637,F,N,Y,0,450000,Commercial associate,Secondary / secondary special,Married,House / apartment,-16920,-9181,1,0,1,1,Managers,2
NULL,NULL,NULL,5033594,F,Y,N,0,202500,Working,Secondary / secondary special,Married,House / apartment,-8959,-1815,1,0,1,1,Core staff,2
NULL,NULL,NULL,5036594,F,N,Y,1,270000,Working,Higher education,Separated,House / apartment,-15789,-8205,1,0,1,1,Medicine staff,2
NULL,NULL,NULL,5056159,F,N,Y,0,216000,Working,Secondary / secondary special,Married,House / apartment,-18067,-6517,1,1,1,1,High skill tech staff,2
NULL,NULL,NULL,5058290,F,N,Y,0,288000,Commercial associate,Secondary / secondary special,Widow,House / apartment,-16181,-117,1,0,1,1,Private service staff,1
NULL,NULL,NULL,5066759,F,Y,Y,0,225000,Commercial associate,Higher education,Married,House / apartment,-19368,-3018,1,1,1,1,Sales staff,2
NULL,NULL,NULL,5068108,F,N,Y,0,450000,State servant,Higher education,Single / not married,House / apartment,-20142,-3093,1,0,1,1,Core staff,1
NULL,NULL,NULL,5068971,F,N,Y,0,292500,Working,Higher education,Single / not married,House / apartment,-17388,-1662,1,0,1,1,Managers,1
NULL,NULL,NULL,5069237,M,Y,Y,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14827,-4037,1,0,1,1,High skill tech staff,2
NULL,NULL,NULL,5089233,F,N,N,0,270000,State servant,Secondary / secondary special,Separated,House / apartment,-19363,-12332,1,0,1,1,Medicine staff,1
NULL,NULL,NULL,5089271,F,Y,N,0,315000,Working,Higher education,Married,House / apartment,-13592,-3504,1,0,1,1,Accountants,2
NULL,NULL,NULL,5089722,F,N,N,0,315000,Commercial associate,Secondary / secondary special,Separated,House / apartment,-17617,-3262,1,1,1,1,Private service staff,1
NULL,NULL,NULL,5090110,M,N,Y,0,360000,Working,Secondary / secondary special,Married,House / apartment,-17160,-1625,1,0,1,1,Managers,2
NULL,NULL,NULL,5090213,F,Y,Y,1,225000,Working,Secondary / secondary special,Separated,House / apartment,-14597,-3869,1,0,1,1,Sales staff,2
NULL,NULL,NULL,5090404,F,Y,N,0,382500,Commercial associate,Higher education,Single / not married,House / apartment,-15297,-885,1,1,1,1,Managers,1
NULL,NULL,NULL,5090529,F,Y,Y,0,288000,Working,Higher education,Married,House / apartment,-14550,-3239,1,0,1,1,Managers,2
NULL,NULL,NULL,5090569,M,Y,Y,0,360000,Commercial associate,Higher education,Married,House / apartment,-21068,-7404,1,0,1,1,Laborers,2
NULL,NULL,NULL,5090666,F,N,Y,0,346500,Commercial associate,Higher education,Separated,House / apartment,-14890,-2410,1,0,1,1,NULL,1
NULL,NULL,NULL,5090668,F,Y,Y,0,225000,Working,Higher education,Married,House / apartment,-15003,-2591,1,0,1,1,Accountants,2
NULL,NULL,NULL,5090685,F,Y,N,0,360000,Working,Higher education,Married,House / apartment,-12542,-4357,1,1,1,1,Managers,2
NULL,NULL,NULL,5090988,M,Y,Y,0,405000,Working,Higher education,Married,House / apartment,-10323,-2622,1,1,1,1,Managers,2
NULL,NULL,NULL,5096390,M,Y,N,0,391500,Commercial associate,Higher education,Single / not married,House / apartment,-21897,-3810,1,1,1,1,Managers,1
NULL,NULL,NULL,5100084,M,N,N,0,252000,Commercial associate,Secondary / secondary special,Single / not married,With parents,-14283,-6823,1,0,1,1,Drivers,1
